Factory,FGSKUCode,ASSEMB_ITEM_DESC,ASSEMB_UOM,COMP_ITEM_CODE,COMP_DESC,COMP_UOM,COMP_QTY,Packing flag,retain_flag_BOM,BOM_version
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,1006102198.0,CHICKEN FRANKFURTER SEAS SS-73,KGM,0.0724129394289486,0.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,1006102232.0,.NFC AZM HP EMUL 75343,KGM,0.0241376464763162,0.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,1006102345.0,PAPRIKA POWDER,KGM,0.0289651757715794,0.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,1006102475.0,RED ARROW GRILLIN' 3053 / 20427526,KGM,0.0386202343621059,0.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,1006102559.0,WATER,KGM,4.224088133355338,0.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,2011104111.0,PLAIN WIMPY BAG 90*60 CM,EA,0.1931011718105297,1.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,2011104134.0,WEIGHT BAGS 35*45,KGM,0.0050689057600264,1.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,2011104212.0,CASING 26 MM,EA,1.255157616768444,1.0,1,BOM-1
NFC,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CARTON,2011104501.0,IMPORTED WOOD CHIPS,KGM,0.0965505859052648,1.0,1,BOM-1
NFC,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CARTON,2011104329.0,BROWN CARTON 185*295*555,EA,1.015,1.0,1,BOM-1
NFC,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CARTON,2011104400.0,GLUE,KGM,0.016,1.0,1,BOM-1
NFC,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CARTON,2011104429.0,TAPE,EA,0.002,1.0,1,BOM-1
NFC,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CARTON,2011104598.0,DOMINO IK-901BKS-1 - INK,EA,0.0002,1.0,1,BOM-1
NFC,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CARTON,2011114610.0,ZINGZ CHICKEN BURGER PACKET N3,EA,18.557,1.0,1,BOM-1
NFC,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CARTON,1005102057.0,PALM OIL,KGM,0.1398548817624722,0.0,1,BOM-1
NFC,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CARTON,1005102133.0,LIQUID ONION,KGM,0.0065265611489153,0.0,1,BOM-1
NFC,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CARTON,1006102009.0,TABLE SALT,KGM,0.1207296405139967,0.0,1,BOM-1
NFC,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CARTON,1006102014.0,MONOSODIUM,KGM,0.0195796834467461,0.0,1,BOM-1
NFC,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CARTON,1006102015.0,PHOSPHATE,KGM,0.0149178540546637,0.0,1,BOM-1
NFC,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CARTON,1006102017.0,FLOUR,KGM,0.5182711129491082,0.0,1,BOM-1
NFC,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CARTON,1006102020.0,GARLIC POWDER,KGM,0.0074589270273318,0.0,1,BOM-1
NFC,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CARTON,1006102021.0,GINGER POWDER,KGM,0.0111883905409977,0.0,1,BOM-1
