Item Code,Description,Qty,UOM,Line Type,Ingredient,Description.1,UOM.1,Qty.1,Unit Cost,Scrap Factor%,Require QTY
4003350323,ROYAL BEEF MORTADELLA ROLL 3K (3*1*3000GM),1,CRT,Ingredient,2011104201,CLIPS 744,EA,6.25,0.0350001633216195,0,6.25
4003350323,ROYAL BEEF MORTADELLA ROLL 3K (3*1*3000GM),1,CRT,Ingredient,2011104401,TAPE,EA,0.02,2.10075696229359,0,0.02
4003350323,ROYAL BEEF MORTADELLA ROLL 3K (3*1*3000GM),1,CRT,Ingredient,2011104840,*ROYAL BEEF MORTADELLA BAG,EA,3.26,0,0,3.26
4003350323,ROYAL BEEF MORTADELLA ROLL 3K (3*1*3000GM),1,CRT,Ingredient,2011114315,CARTON FOR ROYAL MORTADELLA,EA,1.015,1.43148366013071,0,1.015
4003350323,ROYAL BEEF MORTADELLA ROLL 3K (3*1*3000GM),1,CRT,Ingredient,2011114408,BEEF MORTADELLA PLAIN ROYAL 3,EA,1.035,0,0,1.035
4003350323,ROYAL BEEF MORTADELLA ROLL 3K (3*1*3000GM),1,CRT,Ingredient,3003350398,ROYAL BEEF PLAIN MORTADELLA,KGM,9.54,0,0,9.54
4003350402,CHICKEN MORTADELLA WITH OLIVES ROLL 2.5K (3*1*2500GM),1,CRT,Ingredient,2011104140,OLIVE CHICKEN MORTADELLA BAG 2,EA,3.15,1.37029742921308,0,3.15
4003350402,CHICKEN MORTADELLA WITH OLIVES ROLL 2.5K (3*1*2500GM),1,CRT,Ingredient,2011104201,CLIPS 744,EA,6.1,0.0350001633216195,0,6.1
4003350402,CHICKEN MORTADELLA WITH OLIVES ROLL 2.5K (3*1*2500GM),1,CRT,Ingredient,2011104309,TURKEY ROLL CARTON,EA,1.015,1.37349031496947,0,1.015
4003350402,CHICKEN MORTADELLA WITH OLIVES ROLL 2.5K (3*1*2500GM),1,CRT,Ingredient,2011104401,TAPE,EA,0.02,2.10075696229359,0,0.02
4003350402,CHICKEN MORTADELLA WITH OLIVES ROLL 2.5K (3*1*2500GM),1,CRT,Ingredient,3003350489,CHICKEN OLIVE MORTADELLA NEW,KGM,7.81,9.07284814867468,0,7.81
1001100020,CHICKEN CALIBRATED FILLET - YIELD: 10-19%,15,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100,11.9080586389079,0,100
1001101127,CHICKEN TRIMMING,85,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100,11.9080586389079,0,100
1001100021,CHICKEN CALIBRATED FILLET - YIELD: 20-30 %,25,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100,11.9080586389079,0,100
1001101127,CHICKEN TRIMMING,75,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100,11.9080586389079,0,100
1001100022,CHICKEN CALIBRATED FILLET - YIELD: 31-40 %,35,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100,11.9080586389079,0,100
1001101127,CHICKEN TRIMMING,65,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100,11.9080586389079,0,100
1001100023,CHICKEN CALIBRATED FILLET - YIELD: 41-50 %,45,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100,11.9080586389079,0,100
1001101127,CHICKEN TRIMMING,55,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100,11.9080586389079,0,100
1001100024,CHICKEN CALIBRATED FILLET - YIELD: 51-60 %,55,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100,11.9080586389079,0,100
1001101127,CHICKEN TRIMMING,45,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100,11.9080586389079,0,100
1001100025,CHICKEN CALIBRATED FILLET - YIELD: 61-70 %,65,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100,11.9080586389079,0,100
1001101127,CHICKEN TRIMMING,35,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100,11.9080586389079,0,100
1001100026,CHICKEN CALIBRATED FILLET - YIELD: 71-80 %,75,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100,11.9080586389079,0,100
1001101127,CHICKEN TRIMMING,25,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100,11.9080586389079,0,100
1001100027,CHICKEN CALIBRATED FILLET - YIELD: 81-90%,85,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100,11.9080586389079,0,100
1001101127,CHICKEN TRIMMING,15,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100,11.9080586389079,0,100
1001100028,CHICKEN CALIBRATED FILLET - YIELD: 91-100%,95,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100,11.9080586389079,0,100
1001101127,CHICKEN TRIMMING,5,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100,11.9080586389079,0,100
1001101191,PHILLY STEAK MEAT NET,80,KGM,Ingredient,1001101104,BEEF TOPSIDE BRAZILIAN,KGM,100,18.1953121917942,0,100
1001101193,BEEF SIDE TRIMMING,20,KGM,Ingredient,1001101104,BEEF TOPSIDE BRAZILIAN,KGM,100,18.1953121917942,0,100
1001101192,BEEF SIDE NET,72,KGM,Ingredient,1001101104,BEEF TOPSIDE BRAZILIAN,KGM,100,18.1953121917942,0,100
1001101193,BEEF SIDE TRIMMING,28,KGM,Ingredient,1001101104,BEEF TOPSIDE BRAZILIAN,KGM,100,18.1953121917942,0,100
3006598753,JASMIS ANGUS BEEF PATTIES,776.5,KGM,Ingredient,1001101002,BRAZILIAN BEEF FOREQUARTER,KGM,700,14.2041411538684,0,700
3006598753,JASMIS ANGUS BEEF PATTIES,776.5,KGM,Ingredient,1001101140,ANGUS BRISKET,KGM,75,16.4792531068044,0,75
3006598753,JASMIS ANGUS BEEF PATTIES,776.5,KGM,Ingredient,1006102009,TABLE SALT,KGM,1.5,0.7,0,1.5
3006598753,JASMIS ANGUS BEEF PATTIES,776.5,KGM,Ingredient,2011104111,PLAIN WIMPY BAG 90*60 CM,EA,4,0.540041222880608,0,4
