FACTCode,COMP_ITEM_CODE,MthNum,RM Cost,retain_flag
NFC,2011104265.0,1,0.2734058705817885,1
NFC,2011104265.0,2,0.2734059034080027,1
NFC,2011104265.0,3,0.2734059507433325,1
NFC,2011104265.0,4,0.27819104812654416,1
NFC,2011104265.0,5,0.28299663477244325,1
NFC,2011104265.0,6,0.28529143825428593,1
NFC,2011104265.0,7,0.286506476799519,1
NFC,2011104265.0,8,0.28710921581465365,1
NFC,2011104265.0,9,0.28740705520352555,1
NFC,2011104265.0,10,0.2875517143897171,1
NFC,2011104265.0,11,0.2876265222214768,1
NFC,2011104265.0,12,0.28766326104264556,1
NFC,2011104316.0,1,0.27107414564350674,1
NFC,2011104316.0,2,0.2755721936996806,1
NFC,2011104316.0,3,0.27695505219560695,1
NFC,2011104316.0,4,0.27841687546785693,1
NFC,2011104316.0,5,0.27920442403859697,1
NFC,2011104316.0,6,0.2795312413386544,1
NFC,2011104316.0,7,0.2797438626924875,1
NFC,2011104316.0,8,0.2798444785612505,1
NFC,2011104316.0,9,0.27988617869712135,1
NFC,2011104316.0,10,0.2799083235555545,1
NFC,2011104316.0,11,0.27991916971033115,1
NFC,2011104316.0,12,0.27992458491171124,1
NFC,2011104429.0,1,5.642728494055549,1
NFC,2011104429.0,2,5.642783204458543,1
NFC,2011104429.0,3,5.642862045361019,1
NFC,2011104429.0,4,5.705627881533723,1
NFC,2011104429.0,5,5.788332320102406,1
NFC,2011104429.0,6,5.83605333517132,1
NFC,2011104429.0,7,5.858428592641141,1
NFC,2011104429.0,8,5.869035171992149,1
NFC,2011104429.0,9,5.874602731023236,1
NFC,2011104429.0,10,5.877449908047374,1
NFC,2011104429.0,11,5.878722112004675,1
NFC,2011104429.0,12,5.879361012116253,1
NFC,2011114220.0,1,0.10281810964569396,1
NFC,2011114220.0,2,0.1051803396894985,1
NFC,2011114220.0,3,0.10598679616367851,1
NFC,2011114220.0,4,0.10644971254413359,1
NFC,2011114220.0,5,0.1067276355887624,1
NFC,2011114220.0,6,0.10685654574264929,1
