,FACTCode,COMP_ITEM_CODE,MthNum,RM Cost,retain_flag,Available_1_to_12
0,GFC,1001101035.0,1,8.980600610811113,1.0,True
1,GFC,1001101035.0,2,9.417535077393042,1.0,True
2,GFC,1001101035.0,3,9.678372795728407,1.0,True
3,GFC,1001101035.0,4,9.802609798218969,1.0,True
4,GFC,1001101035.0,5,9.888286916769957,1.0,True
5,GFC,1001101035.0,6,9.93481670252423,1.0,True
6,GFC,1001101035.0,7,9.96182164529631,1.0,True
7,GFC,1001101035.0,8,9.978293420915316,1.0,True
8,GFC,1001101035.0,9,9.988960828045268,1.0,True
9,GFC,1001101035.0,10,9.9960073770287,1.0,True
10,GFC,1001101035.0,11,10.000585519930688,1.0,True
11,GFC,1001101035.0,12,10.003721526657978,1.0,True
12,GFC,1001101043.0,1,0.0002722940776038121,1.0,True
13,GFC,1001101043.0,2,0.0002722940776038121,1.0,True
14,GFC,1001101043.0,3,0.0002722940776038121,1.0,True
15,GFC,1001101043.0,4,0.0002722940776038121,1.0,True
16,GFC,1001101043.0,5,0.0002722940776038121,1.0,True
17,GFC,1001101043.0,6,0.0002722940776038121,1.0,True
18,GFC,1001101043.0,7,0.0002722940776038121,1.0,True
19,GFC,1001101043.0,8,0.0002722940776038121,1.0,True
20,GFC,1001101043.0,9,0.0002722940776038121,1.0,True
21,GFC,1001101043.0,10,0.0002722940776038121,1.0,True
22,GFC,1001101043.0,11,0.0002722940776038121,1.0,True
23,GFC,1001101043.0,12,0.0002722940776038121,1.0,True
24,GFC,1001101108.0,1,3.122579872831991,1.0,True
25,GFC,1001101108.0,2,3.072348969971352,1.0,True
26,GFC,1001101108.0,3,3.024985868298362,1.0,True
27,GFC,1001101108.0,4,2.976319378955663,1.0,True
28,GFC,1001101108.0,5,2.9683270074744503,1.0,True
29,GFC,1001101108.0,6,2.8927381149837657,1.0,True
30,GFC,1001101108.0,7,2.875519394909895,1.0,True
31,GFC,1001101108.0,8,2.8685660736631866,1.0,True
32,GFC,1001101108.0,9,2.865927064282706,1.0,True
33,GFC,1001101108.0,10,2.8648490687546917,1.0,True
34,GFC,1001101108.0,11,2.864360877417937,1.0,True
35,GFC,1001101108.0,12,2.864167921151876,1.0,True
36,GFC,1001101111.0,1,0.91661194036009,1.0,True
37,GFC,1001101111.0,2,0.8994898595521544,1.0,True
38,GFC,1001101111.0,3,0.886847510264271,1.0,True
39,GFC,1001101111.0,4,0.8822259298805211,1.0,True
40,GFC,1001101111.0,5,0.8768424440486473,1.0,True
41,GFC,1001101111.0,6,0.8750593091833939,1.0,True
42,GFC,1001101111.0,7,0.873966085548475,1.0,True
43,GFC,1001101111.0,8,0.8732219026756459,1.0,True
44,GFC,1001101111.0,9,0.8728376291800642,1.0,True
45,GFC,1001101111.0,10,0.8725063264416213,1.0,True
46,GFC,1001101111.0,11,0.8723043328652441,1.0,True
47,GFC,1001101111.0,12,0.8722129392766994,1.0,True
48,GFC,1001101127.0,1,2.483974498926265,1.0,True
49,GFC,1001101127.0,2,2.4618977617926463,1.0,True
50,GFC,1001101127.0,3,2.4398303095154383,1.0,True
51,GFC,1001101127.0,4,2.418210716037225,1.0,True
52,GFC,1001101127.0,5,2.404148053211922,1.0,True
53,GFC,1001101127.0,6,2.382877182068324,1.0,True
54,GFC,1001101127.0,7,2.3639095980652387,1.0,True
55,GFC,1001101127.0,8,2.349295477787884,1.0,True
56,GFC,1001101127.0,9,2.338889464142806,1.0,True
57,GFC,1001101127.0,10,2.330133172840867,1.0,True
58,GFC,1001101127.0,11,2.323808353016871,1.0,True
59,GFC,1001101127.0,12,2.32023813159478,1.0,True
