Item Code,Description,Qty,UOM,Line Type,Ingredient,Description.1,UOM.1,Qty.1,Unit Cost,Scrap Factor%,Require QTY
4001371702,CHICKEN NUGGETS 1KG (10*1*1000GM),1,CRT,Ingredient,2011104245,ISHIDA ROLL 47 CM,MTR,3.9,0.169897743024688,0,3.9
4001371702,CHICKEN NUGGETS 1KG (10*1*1000GM),1,CRT,Ingredient,2011104303,MEDIUM CARTON AMERICANA,EA,1.015,1.58029759435279,0,1.015
4001371702,CHICKEN NUGGETS 1KG (10*1*1000GM),1,CRT,Ingredient,2011104429,TAPE,EA,0.002,21.2406359669138,0,0.002
4001371702,CHICKEN NUGGETS 1KG (10*1*1000GM),1,CRT,Ingredient,2011104598,DOMINO IK-901BKS-1 - INK,EA,0.0002,0,0,0.0002
4001371702,CHICKEN NUGGETS 1KG (10*1*1000GM),1,CRT,Ingredient,3001371799,LEBANON CHICKEN NUGGETS 85GM,KGM,10.5,5.843707207696,0,10.5
3001351062,HARDEE'S SPICY BREADED TENDER,199.95,KGM,Ingredient,1006102009,TABLE SALT,KGM,1.8,0.7,0,1.8
3001351062,HARDEE'S SPICY BREADED TENDER,199.95,KGM,Ingredient,1006102011,WHITE PEPPER,KGM,0.3,30.0085873282975,0,0.3
3001351062,HARDEE'S SPICY BREADED TENDER,199.95,KGM,Ingredient,1006102013,BAKING POWDER,KGM,3.9,5.96360957524549,0,3.9
3001351062,HARDEE'S SPICY BREADED TENDER,199.95,KGM,Ingredient,1006102017,FLOUR,KGM,63,0.629851933888552,0,63
3001351062,HARDEE'S SPICY BREADED TENDER,199.95,KGM,Ingredient,1006102042,ARABIC STARCH,KGM,5.2,1.99998663489762,0,5.2
3001351062,HARDEE'S SPICY BREADED TENDER,199.95,KGM,Ingredient,1006102226,OLEORESIN PAPRIKA E081524 COLO,KGM,0.05,146.8901278843,0,0.05
3001351062,HARDEE'S SPICY BREADED TENDER,199.95,KGM,Ingredient,1006102276,NEWLYWEDS HOT BREADING,KGM,94.5,7.73398669914821,0,94.5
3001351062,HARDEE'S SPICY BREADED TENDER,199.95,KGM,Ingredient,1006102295,DRY ONION POWDER,KGM,2.2,14.0001700635476,0,2.2
3001351062,HARDEE'S SPICY BREADED TENDER,199.95,KGM,Ingredient,1006102325,*ZINGER BREADING BM 1417,KGM,25.1,9.58283201557127,0,25.1
