FACTCode,COMP_ITEM_CODE,MthNum,RM Cost,retain_flag,RM Cost Change
GFC,1001102375.0,1,14.058332259417718,1,0.0
GFC,1001102375.0,2,13.588327637448591,1,-3.3432459362615297
GFC,1001102375.0,3,12.14646640658994,1,-10.61102785662137
GFC,1001102375.0,4,11.193622879254267,1,-7.844615013455414
GFC,1001102375.0,5,10.766261178219926,1,-3.81790333339167
GFC,1001102375.0,6,10.149825816015491,1,-5.725621476204568
GFC,1001102375.0,7,10.054338499020018,1,-0.9407778884717777
GFC,1001102375.0,8,10.054338499020018,1,0.0
GFC,1001102375.0,9,9.636788717088573,1,-4.152931413360939
GFC,1001102375.0,10,9.25914113731872,1,-3.918811451165094
GFC,1001102375.0,11,8.98625857285958,1,-2.9471692936971716
GFC,1001102375.0,12,8.77332069623297,1,-2.369594363439831
GFC,1005102162.0,1,24.0316826953638,1,0.0
GFC,1005102162.0,2,22.71206200557416,1,-5.4911705789300385
GFC,1005102162.0,3,21.73146520529288,1,-4.317515512420734
GFC,1005102162.0,4,20.9796359078366,1,-3.459634637397424
GFC,1005102162.0,5,20.360213396828613,1,-2.9524940934585575
GFC,1005102162.0,6,19.86863655676297,1,-2.4143992525255897
GFC,1005102162.0,7,19.42664063127855,1,-2.2245911249203054
GFC,1005102162.0,8,18.95591067611688,1,-2.4231155766774926
GFC,1005102162.0,9,18.52717170044152,1,-2.2617693393941707
GFC,1005102162.0,10,18.19771983371309,1,-1.7782091732899463
GFC,1005102162.0,11,17.850217006866504,1,-1.9095954329553022
GFC,1005102162.0,12,17.584252960565877,1,-1.489976543132887
GFC,1006102002.0,1,2.3663683089238,1,0.0
GFC,1006102002.0,2,3.106977204122146,1,31.297279143125746
GFC,1006102002.0,3,3.36593111497735,1,8.334593202410367
GFC,1006102002.0,4,3.470320218474064,1,3.101344024309194
GFC,1006102002.0,5,3.517201502591844,1,1.350920986144466
GFC,1006102002.0,6,3.5368540523589047,1,0.5587552988527422
GFC,1006102002.0,7,3.5447820630291087,1,0.2241543064214424
GFC,1006102002.0,8,3.5481725986156523,1,0.09564863301205762
GFC,1006102002.0,9,3.5493868565034044,1,0.03422206372445391
GFC,1006102002.0,10,3.549797057645953,1,0.011556957838987358
GFC,1006102002.0,11,3.5499316225476205,1,0.0037907773171808046
GFC,1006102002.0,12,3.549976026326526,1,0.0012508347660311614
GFC,1006102170.0,1,3.496887040534632,1,0.0
GFC,1006102170.0,2,3.318431435377491,1,-5.10327051141628
GFC,1006102170.0,3,3.1715695229979635,1,-4.425642513322591
GFC,1006102170.0,4,3.0735707279201847,1,-3.089914768292523
GFC,1006102170.0,5,2.98333840773079,1,-2.935748944045058
GFC,1006102170.0,6,2.924499612745365,1,-1.972246756618512
GFC,1006102170.0,7,2.8682629532963664,1,-1.9229497998191514
GFC,1006102170.0,8,2.8219815625768483,1,-1.6135686118432413
GFC,1006102170.0,9,2.7836404288020247,1,-1.3586599672824606
GFC,1006102170.0,10,2.7565289100323223,1,-0.9739590821135735
GFC,1006102170.0,11,2.7352640680856823,1,-0.7714354770322562
GFC,1006102170.0,12,2.718003190711784,1,-0.6310497613482124
GFC,1006102402.0,1,8.588396191517377,1,0.0
GFC,1006102402.0,2,7.191280105645303,1,-16.267485275679107
GFC,1006102402.0,3,6.645682150822559,1,-7.586937885988321
GFC,1006102402.0,4,6.370429724555433,1,-4.141823518193033
GFC,1006102402.0,5,6.233634229572651,1,-2.1473511348142016
GFC,1006102402.0,6,6.181103239240288,1,-0.8427024813736028
GFC,1006102402.0,7,6.157855775979367,1,-0.37610540321243446
GFC,1006102402.0,8,6.145369267177764,1,-0.20277364809858645
GFC,1006102402.0,9,6.140647336356847,1,-0.07683721865400228
GFC,1006102402.0,10,6.139029321314609,1,-0.026349258532687436
GFC,1006102402.0,11,6.138433234934758,1,-0.009709782257949495
GFC,1006102402.0,12,6.138224377947155,1,-0.0034024478170580075
GFC,2012104330.0,1,0.7069118265486726,1,0.0
GFC,2012104330.0,2,0.7667018852660722,1,8.457923106098008
GFC,2012104330.0,3,0.766701885266072,1,-3.3306690738754696e-14
GFC,2012104330.0,4,0.766701885266072,1,0.0
GFC,2012104330.0,5,0.7886488026885153,1,2.8625099069408133
GFC,2012104330.0,6,0.7886488026885152,1,-1.1102230246251565e-14
GFC,2012104330.0,7,0.794256782392357,1,0.7110870750990816
GFC,2012104330.0,8,0.7967227691398481,1,0.3104772665665445
GFC,2012104330.0,9,0.7967227691398481,1,0.0
GFC,2012104330.0,10,0.7974593552404311,1,0.09245199573977292
GFC,2012104330.0,11,0.7980889440502108,1,0.07894932897112295
