FACTCode,COMP_ITEM_CODE,RM Cost,retain_flag
GFC,1001101033.0,1.1006571480000005,12
GFC,1001101035.0,9.802634351609997,12
GFC,1001101108.0,2.9383908010579898,12
GFC,1001101111.0,0.8811771841064023,12
GFC,1001101127.0,2.384767726583356,12
GFC,1001101130.0,2.489804668401472,12
GFC,1001102065.0,1.8597564741759376,12
GFC,1001102375.0,10.722251858207152,12
GFC,1001102376.0,1.9915927602008707,12
GFC,1001102423.0,11.422060026599164,12
GFC,1001102625.0,4.827586207,12
GFC,1001102626.0,4.765057717866399,12
GFC,1005102057.0,1.2722612176833514,12
GFC,1005102133.0,6.931963141407141,12
GFC,1005102162.0,20.01880071472012,12
GFC,1005102191.0,3.7648461173840584,12
GFC,1005102193.0,2.7755556931999856,12
GFC,1005102227.0,42.12366488240736,12
GFC,1006102002.0,3.387974885509698,12
GFC,1006102008.0,1.3455950435545772,12
GFC,1006102009.0,0.12242923525980659,12
GFC,1006102010.0,6.261669160960842,12
GFC,1006102011.0,4.381363731603852,12
GFC,1006102013.0,1.5618401861000704,12
GFC,1006102014.0,1.7506345912243482,12
GFC,1006102015.0,2.8579229777996233,12
GFC,1006102017.0,0.4660399789942054,12
GFC,1006102020.0,2.2658222326988526,12
GFC,1006102021.0,3.5494164121710923,12
GFC,1006102022.0,4.967559839115689,12
GFC,1006102024.0,3.321825000826729,12
GFC,1006102030.0,1.4043729121855852,12
GFC,1006102032.0,0.9966480379354271,12
GFC,1006102035.0,4.040881910444412,12
GFC,1006102036.0,0.8279147143687573,12
GFC,1006102038.0,7.760381211708647,12
GFC,1006102040.0,2.6408781141259294,12
GFC,1006102041.0,4.802205076769725,12
GFC,1006102042.0,0.6273468495315674,12
GFC,1006102044.0,1.293964087875186,12
GFC,1006102051.0,7.948667995577768,12
GFC,1006102056.0,1.377915272325774,12
GFC,1006102058.0,1.2385572248923524,12
GFC,1006102097.0,3.359875124226041,12
GFC,1006102100.0,2.077302035015969,12
GFC,1006102107.0,3.212208541814663,12
GFC,1006102110.0,2.2738711835119516,12
GFC,1006102119.0,4.943807458091017,12
GFC,1006102124.0,8.25,12
GFC,1006102136.0,55.82028590878148,12
GFC,1006102141.0,2.314499659632403,12
GFC,1006102161.0,2.5702092159728056,12
GFC,1006102170.0,2.970998155067621,12
GFC,1006102171.0,2.288099533924369,12
GFC,1006102173.0,2.3689258912716507,12
GFC,1006102174.0,1.9518855187649173,12
GFC,1006102196.0,1.4708358797885845,12
