Item Code,Description,Qty,UOM,Line Type,Ingredient,Description.1,UOM.1,Qty.1,Unit Cost,Scrap Factor%,Require QTY,Sort Order,Primary Item Code,Original Description,Original UOM,FactCode,Packing flag
4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),1.0,CRT,Ingredient,2011104303,MEDIUM CARTON AMERICANA,EA,1.015,1.58029759435279,0,1.015,0.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,1
4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),1.0,CRT,Ingredient,2011104429,TAPE,EA,0.002,21.2406359669138,0,0.002,0.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,1
4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),1.0,CRT,Ingredient,2011104598,DOMINO IK-901BKS-1 - INK,EA,3e-05,0.0,0,3e-05,0.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,1
4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),1.0,CRT,Ingredient,2011114087,ANGUS HOTDOG PREMIUM PACKET,EA,20.5,0.370175681502215,0,20.5,0.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,1
4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),1.0,CRT,Ingredient,3001351074,BEEF HOTDOG,KGM,11.7,9.95450643393616,0,11.7,0.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,0
3001351074,BEEF HOTDOG,242.36,KGM,Ingredient,1006102110,SOYA PROTEIN CONCENTRATE,KGM,3.5,6.20111215402651,0,3.5,1.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,0
3001351074,BEEF HOTDOG,242.36,KGM,Ingredient,1006102198,CHICKEN FRANKFURTER SEAS SS-73,KGM,1.5,25.7026168213387,0,1.5,1.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,0
3001351074,BEEF HOTDOG,242.36,KGM,Ingredient,1006102232,.NFC AZM HP EMUL 75343,KGM,0.5,28.6123400351684,0,0.5,1.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,0
3001351074,BEEF HOTDOG,242.36,KGM,Ingredient,1006102345,PAPRIKA POWDER,KGM,0.6,25.0175486738,0,0.6,1.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,0
3001351074,BEEF HOTDOG,242.36,KGM,Ingredient,2011104111,PLAIN WIMPY BAG 90*60 CM,EA,4.0,0.540041222880608,0,4.0,1.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,1
3001351074,BEEF HOTDOG,242.36,KGM,Ingredient,1006102559,WATER,KGM,87.5,0.0104851074691908,0,87.5,1.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,0
3001351074,BEEF HOTDOG,242.36,KGM,Ingredient,1006102055,FRANKFURTER FLAVOR,KGM,0.15,58.2661750146939,0,0.15,1.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,0
3001351074,BEEF HOTDOG,242.36,KGM,Ingredient,2011104134,WEIGHT BAGS 35*45,KGM,0.105,7.7500255931951,0,0.105,1.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,1
3001351074,BEEF HOTDOG,242.36,KGM,Ingredient,1006102475,RED ARROW GRILLIN' 3053 / 20427526,KGM,0.8,184.666868134335,0,0.8,1.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,0
3001351074,BEEF HOTDOG,242.36,KGM,Ingredient,1006102036,SUGAR,KGM,0.6,2.99996344672822,0,0.6,1.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,0
3001351074,BEEF HOTDOG,242.36,KGM,Ingredient,1006102015,PHOSPHATE,KGM,0.18,11.4907503295098,0,0.18,1.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,0
3001351074,BEEF HOTDOG,242.36,KGM,Ingredient,1006102020,GARLIC POWDER,KGM,0.05,5.20154856866033,0,0.05,1.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,0
3001351074,BEEF HOTDOG,242.36,KGM,Ingredient,2011104212,CASING 26 MM,EA,26.0,3.49205524405054,0,26.0,1.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,1
3001351074,BEEF HOTDOG,242.36,KGM,Ingredient,1006102011,WHITE PEPPER,KGM,0.075,30.0085873282975,0,0.075,1.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,0
3001351074,BEEF HOTDOG,242.36,KGM,Ingredient,1006102008,Soya Protein TVP,KGM,1.8,3.45030087310618,0,1.8,1.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,0
3001351074,BEEF HOTDOG,242.36,KGM,Ingredient,1006102005,LUNCHEON CURE NO COLOR SS-381,KGM,3.75,8.99640634075589,0,3.75,1.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,0
3001351074,BEEF HOTDOG,242.36,KGM,Ingredient,1005102205,MUSTARD,KGM,0.35,11.4192127727318,0,0.35,1.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,0
3001351074,BEEF HOTDOG,242.36,KGM,Ingredient,1001101139,ANGUS TRIMMINGS,KGM,35.0,13.3492571546143,0,35.0,1.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,0
3001351074,BEEF HOTDOG,242.36,KGM,Ingredient,1001101007,BRAZILIAN BEEF TRIMMING,KGM,59.0,9.55126225285403,0,59.0,1.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,0
3001351074,BEEF HOTDOG,242.36,KGM,Ingredient,1001101002,BRAZILIAN BEEF FOREQUARTER,KGM,40.0,14.2041411538684,0,40.0,1.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,0
3001351074,BEEF HOTDOG,242.36,KGM,Ingredient,1006102030,NAT FOOD BREADCRUMB 3969 - 220,KGM,7.0,6.01625693565325,0,7.0,1.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,0
3001351074,BEEF HOTDOG,242.36,KGM,Ingredient,2011104501,IMPORTED WOOD CHIPS,KGM,2.0,4.38448540628523,0,2.0,1.0,4001351022,CRAVES ANGUS BEEF HOTDOG 450GM (20*5*90GM),CRT,NFC,1
4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),1.0,CRT,Ingredient,2011104201,CLIPS 744,EA,10.22,0.0350001633216195,0,10.22,0.0,4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),CRT,NFC,1
