,Item Code,Description,Qty,UOM,Line Type,Ingredient,Description.1,UOM.1,Qty.1,Unit Cost,Scrap Factor%,Require QTY,Sort Order,Primary Item Code,Original Description,Original UOM,FactCode,Packing flag,Flag
14870,4001100155,ARABIC SPICES BEEF BURGER 20PCS (15*1*1000G),1.0,CRT,Ingredient,1006102011,WHITE PEPPER,KGM,0.017,3.75002958710894,0,0.017,0.0,4001100155,ARABIC SPICES BEEF BURGER 20PCS (15*1*1000G),CRT,KFC,0,False
14871,4001100155,ARABIC SPICES BEEF BURGER 20PCS (15*1*1000G),1.0,CRT,Ingredient,1006102010,BLACK PEPPER POWDER,KGM,0.021,2.93749649704426,0,0.021,0.0,4001100155,ARABIC SPICES BEEF BURGER 20PCS (15*1*1000G),CRT,KFC,0,False
14872,4001100155,ARABIC SPICES BEEF BURGER 20PCS (15*1*1000G),1.0,CRT,Ingredient,1006102009,TABLE SALT,KGM,0.155,0.087500540039623,0,0.155,0.0,4001100155,ARABIC SPICES BEEF BURGER 20PCS (15*1*1000G),CRT,KFC,0,False
14873,4001100155,ARABIC SPICES BEEF BURGER 20PCS (15*1*1000G),1.0,CRT,Ingredient,1006102008,Soya Protein TVP,KGM,0.739,0.462385101398388,0,0.739,0.0,4001100155,ARABIC SPICES BEEF BURGER 20PCS (15*1*1000G),CRT,KFC,0,False
14874,4001100155,ARABIC SPICES BEEF BURGER 20PCS (15*1*1000G),1.0,CRT,Ingredient,1005102559,WATER,KGM,1.581,0.001,0,1.581,0.0,4001100155,ARABIC SPICES BEEF BURGER 20PCS (15*1*1000G),CRT,KFC,0,False
14875,4001100155,ARABIC SPICES BEEF BURGER 20PCS (15*1*1000G),1.0,CRT,Ingredient,1001103024,Frozen Whole Onion,KGM,2.093,0.276506448257992,0,2.093,0.0,4001100155,ARABIC SPICES BEEF BURGER 20PCS (15*1*1000G),CRT,KFC,0,False
14876,4001100155,ARABIC SPICES BEEF BURGER 20PCS (15*1*1000G),1.0,CRT,Ingredient,1001101007,BRAZILIAN BEEF TRIMMING,KGM,6.977,0.716745715837588,0,6.977,0.0,4001100155,ARABIC SPICES BEEF BURGER 20PCS (15*1*1000G),CRT,KFC,0,False
14877,4001100155,ARABIC SPICES BEEF BURGER 20PCS (15*1*1000G),1.0,CRT,Ingredient,2013310429,SELOTAP 1500 YARD,MTR,1.504,0.0015922816699607,0,1.504,0.0,4001100155,ARABIC SPICES BEEF BURGER 20PCS (15*1*1000G),CRT,KFC,1,False
14878,4001100155,ARABIC SPICES BEEF BURGER 20PCS (15*1*1000G),1.0,CRT,Ingredient,2013995205,BEEF BURGER ARABIC SPICES 1KG,EA,15.419,0.0134595749420889,0,15.419,0.0,4001100155,ARABIC SPICES BEEF BURGER 20PCS (15*1*1000G),CRT,KFC,1,False
14068,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,1001101002,BRAZILIAN BEEF FOREQUARTER,KGM,2.3529,1.12278429132942,0,2.3529,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,0,False
